"species","preferred_species_name","tvk","rtvk","flight_period","id_difficulty"
"Melanostoma dubium","Melanostoma dubium","NBNSYS0000006865","NBNSYS0000006865","03-08 to 09-08","4: Species needs confirmation from national expert"
"Melanostoma mellinum","Melanostoma mellinum","NBNSYS0000006866","NBNSYS0000006866","01-17 to 12-18","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Melanostoma scalare","Melanostoma scalare","NBNSYS0000006867","NBNSYS0000006867","01-07 to 12-18","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Meligramma euchromum","Meligramma euchromum","NBNSYS0100003973","NBNSYS0100003973","04-13 to 09-08","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Meligramma guttatum","Meligramma guttatum","NBNSYS0100003975","NBNSYS0100003975","05-08 to 09-10","4: Species needs confirmation from national expert"
"Meligramma trianguliferum","Meligramma trianguliferum","NBNSYS0100003977","NBNSYS0100003977","04-15 to 11-02","4: Species needs confirmation from national expert"
"Meliscaeva auricollis","Meliscaeva auricollis","NBNSYS0000006933","NBNSYS0000006933","01-03 to 01-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Meliscaeva cinctella","Meliscaeva cinctella","NBNSYS0000006934","NBNSYS0000006934","02-06 to 12-11","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Merodon equestris","Merodon equestris","NBNSYS0000007069","NBNSYS0000007069","01-11 to 11-02","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Microdon analis","Microdon analis","NBNSYS0100004052","NBNSYS0100004052","02-03 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Microdon devius","Microdon devius","NBNSYS0000007119","NBNSYS0000007119","05-20 to 07-14","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Microdon mutabilis","Microdon mutabilis sens.lat.","NBNSYS0000007121","NHMSYS0021239778",,"5: Voucher specimen required to be examined by national expert"
"Microdon myrmicae","Microdon myrmicae","NBNSYS0100027470","NBNSYS0100027470",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Myathropa florea","Myathropa florea","NBNSYS0000007061","NBNSYS0000007061","01-08 to 12-23","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Myolepta dubia","Myolepta dubia","NBNSYS0100004156","NBNSYS0100004156","05-20 to 09-24","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Myolepta potens","Myolepta potens","NBNSYS0000007025","NBNSYS0000007025","06-14 to 07-19","5: Voucher specimen required to be examined by national expert"
"Neoascia geniculata","Neoascia geniculata","NBNSYS0000007026","NBNSYS0000007026","03-30 to 10-08","4: Species needs confirmation from national expert"
"Neoascia interrupta","Neoascia interrupta","NBNSYS0000007027","NBNSYS0000007027","04-07 to 09-21","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Neoascia meticulosa","Neoascia meticulosa","NBNSYS0000007028","NBNSYS0000007028","04-03 to 11-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Neoascia obliqua","Neoascia obliqua","NBNSYS0000007029","NBNSYS0000007029","03-27 to 10-04","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Neoascia podagrica","Neoascia podagrica","NBNSYS0000007030","NBNSYS0000007030","01-08 to 12-18","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Neoascia tenur","Neoascia tenur","NBNSYS0000007031","NBNSYS0000007031","01-12 to 11-27","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Orthonevra brevicornis","Orthonevra brevicornis","NBNSYS0000007032","NBNSYS0000007032","04-17 to 09-16","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Orthonevra geniculata","Orthonevra geniculata","NBNSYS0000007033","NBNSYS0000007033","02-06 to 10-14","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Orthonevra intermedia","Orthonevra intermedia","NHMSYS0020978350","NHMSYS0020978350","07-03 to 07-07",
"Orthonevra nobilis","Orthonevra nobilis","NBNSYS0000007034","NBNSYS0000007034","02-20 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Paragus albifrons","Paragus albifrons","NBNSYS0000006892","NBNSYS0000006892","06-01 to 11-02","4: Species needs confirmation from national expert"
"Paragus constrictus","Paragus constrictus","NBNSYS0000042529","NBNSYS0000042529",,"5: Voucher specimen required to be examined by national expert"
"Paragus haemorrhous","Paragus haemorrhous","NBNSYS0000006890","NBNSYS0000006890","04-08 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Paragus tibialis","Paragus tibialis","NBNSYS0000006891","NBNSYS0000006891","05-21 to 10-11","4: Species needs confirmation from national expert"
"Parasyrphus annulatus","Parasyrphus annulatus","NBNSYS0000006943","NBNSYS0000006943","04-10 to 10-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parasyrphus lineola","Parasyrphus lineola","NBNSYS0100004457","NBNSYS0100004457","04-10 to 10-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parasyrphus malinellus","Parasyrphus malinellus","NBNSYS0100004458","NBNSYS0100004458","04-17 to 10-01","4: Species needs confirmation from national expert"
"Parasyrphus nigritarsis","Parasyrphus nigritarsis","NBNSYS0000006946","NBNSYS0000006946","04-29 to 08-03","4: Species needs confirmation from national expert"
"Parasyrphus punctulatus","Parasyrphus punctulatus","NBNSYS0000006947","NBNSYS0000006947","03-03 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parasyrphus vittiger","Parasyrphus vittiger","NBNSYS0000006948","NBNSYS0000006948","03-20 to 10-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parhelophilus consimilis","Parhelophilus consimilis","NBNSYS0000007062","NBNSYS0000007062","05-17 to 08-19","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parhelophilus frutetorum","Parhelophilus frutetorum","NBNSYS0000007063","NBNSYS0000007063","04-22 to 11-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Parhelophilus versicolor","Parhelophilus versicolor","NBNSYS0000007064","NBNSYS0000007064","04-07 to 11-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Pelecocera tricincta","Pelecocera tricincta","NBNSYS0000007073","NBNSYS0000007073","05-23 to 12-11","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Pipiza austriaca","Pipiza austriaca","NBNSYS0000007080","NBNSYS0000007080","04-22 to 10-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Pipiza lugubris misident.","Pipiza austriaca","NBNSYS0100022711","NBNSYS0000007080","04-25 to 12-11",
"Pipiza fenestrata","Pipiza fasciata","NBNSYS0000007082","NHMSYS0021264992","04-18 to 09-08","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Pipiza festiva","Pipiza festiva","NBNSYS0100027556","NBNSYS0100027556",,"5: Voucher specimen required to be examined by national expert"
"Pipiza lugubris","Pipiza lugubris","NBNSYS0000007083","NBNSYS0000007083",,"4: Species needs confirmation from national expert"
"Pipiza luteitarsis","Pipiza luteitarsis","NBNSYS0000007084","NBNSYS0000007084","04-04 to 09-03","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Pipiza noctiluca","Pipiza noctiluca","NBNSYS0000007085","NBNSYS0000007085","01-27 to 11-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Pipiza bimaculata","Pipiza notata","NBNSYS0000007081","NHMSYS0021264997","04-26 to 10-07","4: Species needs confirmation from national expert"
"Pipizella maculipennis","Pipizella maculipennis","NBNSYS0000007086","NBNSYS0000007086","05-26 to 08-12","4: Species needs confirmation from national expert"
"Pipizella viduata","Pipizella viduata","NBNSYS0100022723","NBNSYS0100022723","04-03 to 11-15","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Pipizella virens authors, misident.","Pipizella viduata","NBNSYS0100022728","NBNSYS0100022723","05-04 to 09-06",
"Pipizella virens","Pipizella virens","NBNSYS0000007088","NBNSYS0000007088",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus albimanus","Platycheirus albimanus","NBNSYS0000006871","NBNSYS0000006871","01-05 to 12-18","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Platycheirus ambiguus","Platycheirus ambiguus","NBNSYS0000006869","NBNSYS0000006869","02-02 to 11-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus amplus","Platycheirus amplus","NBNSYS0000006870","NBNSYS0000006870",,"4: Species needs confirmation from national expert"
"Platycheirus angustatus","Platycheirus angustatus","NBNSYS0000006872","NBNSYS0000006872","04-08 to 11-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus aurolateralis","Platycheirus aurolateralis","NBNSYS0100027555","NBNSYS0100027555",,"4: Species needs confirmation from national expert"
"Platycheirus clypeatus","Platycheirus clypeatus","NBNSYS0100022739","NBNSYS0100022739",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus discimanus","Platycheirus discimanus","NBNSYS0000006874","NBNSYS0000006874","03-26 to 10-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus europaeus","Platycheirus europaeus","NBNSYS0000033125","NBNSYS0000033125",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus fulviventris","Platycheirus fulviventris","NBNSYS0000006875","NBNSYS0000006875","04-07 to 11-01","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus granditarsus","Platycheirus granditarsus","NBNSYS0100004762","NBNSYS0100004762","02-18 to 12-17","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Platycheirus immarginatus","Platycheirus immarginatus","NBNSYS0000006876","NBNSYS0000006876","05-08 to 11-13","4: Species needs confirmation from national expert"
"Platycheirus manicatus","Platycheirus manicatus","NBNSYS0000006877","NBNSYS0000006877","03-07 to 12-18","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Platycheirus melanopsis","Platycheirus melanopsis","NBNSYS0000006878","NBNSYS0000006878","03-08 to 10-10","4: Species needs confirmation from national expert"
"Platycheirus nielseni","Platycheirus nielseni","NBNSYS0000006886","NBNSYS0000006886",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus occultus","Platycheirus occultus","NBNSYS0000033187","NBNSYS0000033187",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus peltatus","Platycheirus peltatus","NBNSYS0000033188","NBNSYS0000033188",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus perpallidus","Platycheirus perpallidus","NBNSYS0000006880","NBNSYS0000006880","05-03 to 09-15","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus podagratus","Platycheirus podagratus","NBNSYS0000006881","NBNSYS0000006881","03-07 to 10-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus ramsarensis","Platycheirus ramsarensis","NBNSYS0000033094","NBNSYS0000033094",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus rosarum","Platycheirus rosarum","NBNSYS0100004763","NBNSYS0100004763","03-11 to 10-29","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Platycheirus scambus","Platycheirus scambus","NBNSYS0000006882","NBNSYS0000006882","05-07 to 10-07","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus scutatus","Platycheirus scutatus","NBNSYS0000006883","NBNSYS0000006883",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Platycheirus splendidus","Platycheirus splendidus","NBNSYS0100004764","NBNSYS0100004764",,"4: Species needs confirmation from national expert"
"Platycheirus sticticus","Platycheirus sticticus","NBNSYS0000006884","NBNSYS0000006884","04-07 to 09-24","4: Species needs confirmation from national expert"
"Platycheirus tarsalis","Platycheirus tarsalis","NBNSYS0000006885","NBNSYS0000006885","04-02 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Pocota personata","Pocota personata","NBNSYS0000007109","NBNSYS0000007109","04-12 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Portevinia maculata","Portevinia maculata","NBNSYS0000007009","NBNSYS0000007009","01-05 to 10-02","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Psilota anthracina","Psilota anthracina","NBNSYS0000007070","NBNSYS0000007070","04-23 to 06-17","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Rhingia campestris","Rhingia campestris","NBNSYS0000007010","NBNSYS0000007010","02-06 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Rhingia rostrata","Rhingia rostrata","NBNSYS0000007011","NBNSYS0000007011","04-02 to 11-05","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Riponnensia splendens","Riponnensia splendens","NBNSYS0100005170","NBNSYS0100005170","02-20 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Scaeva albomaculata","Scaeva albomaculata","NBNSYS0000006949","NBNSYS0000006949","06-17 to 08-03","5: Voucher specimen required to be examined by national expert"
"Scaeva mecogramma","Scaeva mecogramma","NBNSYS0000006950","NBNSYS0000006950","08-20 to 08-20","5: Voucher specimen required to be examined by national expert"
"Scaeva pyrastri","Scaeva pyrastri","NBNSYS0000006951","NBNSYS0000006951","01-08 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Scaeva selenitica","Scaeva selenitica","NBNSYS0000006952","NBNSYS0000006952","01-05 to 12-28","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Sericomyia lappona","Sericomyia lappona","NBNSYS0000007092","NBNSYS0000007092","02-06 to 12-18","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Sericomyia silentis","Sericomyia silentis","NBNSYS0000007093","NBNSYS0000007093","04-12 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Arctophila superbiens","Sericomyia superbiens","NBNSYS0100001633","NHMSYS0021265002","01-20 to 10-31","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Sphaerophoria bankowskae","Sphaerophoria bankowskae","NBNSYS0000033254","NBNSYS0000033254","06-08 to 07-10","4: Species needs confirmation from national expert"
"Sphaerophoria batava","Sphaerophoria batava","NBNSYS0000006954","NBNSYS0000006954","02-06 to 10-13","4: Species needs confirmation from national expert"
"Sphaerophoria fatarum","Sphaerophoria fatarum","NBNSYS0000006953","NBNSYS0000006953","02-06 to 09-24","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphaerophoria interrupta","Sphaerophoria interrupta","NBNSYS0000157028","NBNSYS0000157028","02-18 to 10-09","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphaerophoria loewi","Sphaerophoria loewi","NBNSYS0000006955","NBNSYS0000006955","06-06 to 09-02","4: Species needs confirmation from national expert"
"Sphaerophoria philanthus","Sphaerophoria philanthus","NBNSYS0000157031","NBNSYS0000157031","04-22 to 10-14","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphaerophoria potentillae","Sphaerophoria potentillae","NBNSYS0000006963","NBNSYS0000006963","05-28 to 07-09","4: Species needs confirmation from national expert"
"Sphaerophoria rueppellii","Sphaerophoria rueppellii","NBNSYS0000006958","NBNSYS0000006958","04-11 to 11-26","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphaerophoria scripta","Sphaerophoria scripta","NBNSYS0000006959","NBNSYS0000006959","01-05 to 12-10","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Sphaerophoria taeniata","Sphaerophoria taeniata","NBNSYS0000006960","NBNSYS0000006960","04-26 to 11-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphaerophoria virgata","Sphaerophoria virgata","NBNSYS0000006961","NBNSYS0000006961","02-06 to 11-07","4: Species needs confirmation from national expert"
"Sphegina clunipes","Sphegina clunipes","NBNSYS0000007036","NBNSYS0000007036","02-18 to 12-11","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphegina elegans","Sphegina elegans","NBNSYS0000157089","NBNSYS0000157089","04-30 to 10-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphegina sibirica","Sphegina sibirica","NBNSYS0000033089","NBNSYS0000033089","05-11 to 08-21","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Sphegina verecunda","Sphegina verecunda","NBNSYS0000007038","NBNSYS0000007038","04-18 to 10-02","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Syritta pipiens","Syritta pipiens","NBNSYS0000007110","NBNSYS0000007110","01-08 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Syrphus rectus","Syrphus rectus","NBNSYS0100005686","NBNSYS0100005686",,"5: Voucher specimen required to be examined by national expert"
"Syrphus ribesii","Syrphus ribesii","NBNSYS0000006964","NBNSYS0000006964","01-07 to 12-22","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Syrphus torvus","Syrphus torvus","NBNSYS0100022820","NBNSYS0100022820","01-05 to 12-18","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Syrphus vitripennis","Syrphus vitripennis","NBNSYS0000006966","NBNSYS0000006966","01-08 to 12-20","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Trichopsomyia flavitarsis","Trichopsomyia flavitarsis","NBNSYS0000007089","NBNSYS0000007089","04-24 to 09-07","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Trichopsomyia lucida","Trichopsomyia lucida","NHMSYS0020978356","NHMSYS0020978356","08-24 to 08-24",
"Triglyphus primus","Triglyphus primus","NBNSYS0000007090","NBNSYS0000007090","05-06 to 10-04","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Tropidia scita","Tropidia scita","NBNSYS0000007111","NBNSYS0000007111","01-06 to 11-10","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Volucella bombylans","Volucella bombylans","NBNSYS0000007094","NBNSYS0000007094","01-31 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Volucella inanis","Volucella inanis","NBNSYS0000007095","NBNSYS0000007095","04-18 to 10-11","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Volucella inflata","Volucella inflata","NBNSYS0000007096","NBNSYS0000007096","01-08 to 11-05","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Volucella pellucens","Volucella pellucens","NBNSYS0000007097","NBNSYS0000007097","01-31 to 12-18","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Volucella zonaria","Volucella zonaria","NBNSYS0000007098","NBNSYS0000007098","03-10 to 11-11","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xanthandrus comtus","Xanthandrus comtus","NBNSYS0000006889","NBNSYS0000006889","04-25 to 11-28","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xanthogramma citrofasciatum","Xanthogramma citrofasciatum","NBNSYS0000006967","NBNSYS0000006967","04-22 to 09-08","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xanthogramma pedissequum","Xanthogramma pedissequum sensu lato","NBNSYS0000006968","NHMSYS0021196425","03-20 to 11-02","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xylota abiens","Xylota abiens","NBNSYS0000007112","NBNSYS0000007112","04-23 to 09-23","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Xylota florum","Xylota florum","NBNSYS0000007114","NBNSYS0000007114","04-28 to 10-18","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder"
"Xylota jakutorum","Xylota jakutorum","NBNSYS0100027469","NBNSYS0100027469","04-18 to 12-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xylota segnis","Xylota segnis","NBNSYS0000007115","NBNSYS0000007115","01-08 to 11-21","1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Xylota sylvarum","Xylota sylvarum","NBNSYS0000007116","NBNSYS0000007116","01-08 to 12-01","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Xylota tarda","Xylota tarda","NBNSYS0000007117","NBNSYS0000007117","04-22 to 10-24","4: Species needs confirmation from national expert"
"Xylota xanthocnema","Xylota xanthocnema","NBNSYS0000007118","NBNSYS0000007118","05-18 to 09-25","4: Species needs confirmation from national expert"
