"species.x","preferred_species_name.x","tvk","species.y","preferred_species_name.y","recording_period","additional_checks_required","id_difficulty.x","id_difficulty.y"
"Limnephilus bipunctatus","Limnephilus bipunctatus","NBNSYS0000008469",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus borealis","Limnephilus borealis","NBNSYS0000008470",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus centralis","Limnephilus centralis","NBNSYS0000008471",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Limnephilus coenosus","Limnephilus coenosus","NBNSYS0000008472",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus decipiens","Limnephilus decipiens","NBNSYS0000008473",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus elegans","Limnephilus elegans","NBNSYS0000008474",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus extricatus","Limnephilus extricatus","NBNSYS0000008475",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus flavicornis","Limnephilus flavicornis","NHMSYS0020704807",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus fuscicornis","Limnephilus fuscicornis","NBNSYS0000008477",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus griseus","Limnephilus griseus","NBNSYS0000008479",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Limnephilus hirsutus","Limnephilus hirsutus","NBNSYS0000008480",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus ignavus","Limnephilus ignavus","NBNSYS0000008481",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus incisus","Limnephilus incisus","NBNSYS0000008482",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Limnephilus lunatus","Limnephilus lunatus","NBNSYS0000008483",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus luridus","Limnephilus luridus","NBNSYS0000008484",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus marmoratus","Limnephilus marmoratus","NBNSYS0000008485",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus nigriceps","Limnephilus nigriceps","NBNSYS0000008486",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus pati","Limnephilus pati","NBNSYS0000008487",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Limnephilus politus","Limnephilus politus","NBNSYS0000008488",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus rhombicus","Limnephilus rhombicus","NBNSYS0000008489",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Limnephilus sparsus","Limnephilus sparsus","NBNSYS0000008490",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Limnephilus stigma","Limnephilus stigma","NBNSYS0000008491",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus subcentralis","Limnephilus subcentralis","NBNSYS0000008492",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Limnephilus tauricus","Limnephilus tauricus","NBNSYS0000008493",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Limnephilus vittatus","Limnephilus vittatus","NHMSYS0020704808",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Melampophylax mucoreus","Melampophylax mucoreus","NBNSYS0000008449",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Mesophylax aspersus","Mesophylax aspersus","NBNSYS0000008450",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Mesophylax impunctatus","Mesophylax impunctatus","NBNSYS0000008451",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Micropterna lateralis","Micropterna lateralis","NBNSYS0000008454",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Micropterna sequax","Micropterna sequax","NBNSYS0000008455",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Nemotaulius punctatolineatus","Nemotaulius punctatolineatus","NBNSYS0000008495",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Potamophylax cingulatus","Potamophylax cingulatus","NBNSYS0000008456",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Potamophylax latipennis","Potamophylax latipennis","NBNSYS0000008457",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Potamophylax rotundipennis","Potamophylax rotundipennis","NBNSYS0000008458",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhadicoleptus alpestris","Rhadicoleptus alpestris","NBNSYS0000008497",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Stenophylax permistus","Stenophylax permistus","NBNSYS0000008459",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Stenophylax vibex","Stenophylax vibex","NBNSYS0000008460",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Molanna","Molanna","NHMSYS0020704814",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Molanna albicans","Molanna albicans","NBNSYS0000008508",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Molanna angustata","Molanna angustata","NBNSYS0000008509",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Odontocerum albicorne","Odontocerum albicorne","NBNSYS0000008507",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Chimarra marginata","Chimarra marginata","NBNSYS0000008384",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Philopotamus montanus","Philopotamus montanus","NBNSYS0000008380",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Wormaldia mediana","Wormaldia mediana","NBNSYS0000008381",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Wormaldia occipitalis","Wormaldia occipitalis","NBNSYS0000008382",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Wormaldia subnigra","Wormaldia subnigra","NBNSYS0000008383",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agrypnetes crassicornis","Agrypnetes crassicornis","NHMSYS0021008788",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hagenella clathrata","Hagenella clathrata","NBNSYS0000008428",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Oligotricha striata","Oligotricha striata","NBNSYS0000008429",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Phryganea bipunctata","Phryganea bipunctata","NBNSYS0000008430",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Phryganea grandis","Phryganea grandis","NBNSYS0000008431",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Phryganeidae","Phryganeidae","NBNSYS0000160695",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Trichostegia minor","Trichostegia minor","NBNSYS0000008432",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Cyrnus flavidus","Cyrnus flavidus","NBNSYS0000008399",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cyrnus insolutus","Cyrnus insolutus","NBNSYS0000008400",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cyrnus trimaculatus","Cyrnus trimaculatus","NBNSYS0000008401",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Holocentropus dubius","Holocentropus dubius","NBNSYS0000008402",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Holocentropus picicornis","Holocentropus picicornis","NBNSYS0000008403",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Holocentropus stagnalis","Holocentropus stagnalis","NBNSYS0000008404",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Neureclipsis bimaculata","Neureclipsis bimaculata","NBNSYS0000008405",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Plectrocnemia","Plectrocnemia","NHMSYS0020704827",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Plectrocnemia brevis","Plectrocnemia brevis","NBNSYS0000008406",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Plectrocnemia conspersa","Plectrocnemia conspersa","NBNSYS0000008407",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Plectrocnemia geniculata","Plectrocnemia geniculata","NBNSYS0000008408",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus flavomaculatus","Polycentropus flavomaculatus","NBNSYS0000008409",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus irroratus","Polycentropus irroratus","NBNSYS0000008410",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus kingi","Polycentropus kingi","NBNSYS0000008411",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype","Lype","NHMSYS0020704809",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype phaeopa","Lype phaeopa","NBNSYS0000008385",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype reducta","Lype reducta","NBNSYS0000008386",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Psychomyia fragilis","Psychomyia fragilis","NHMSYS0020547806",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Psychomyia pusilla","Psychomyia pusilla","NHMSYS0020704831",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes assimilis","Tinodes assimilis","NBNSYS0000008389",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes dives","Tinodes dives","NBNSYS0000008390",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes maclachlani","Tinodes maclachlani","NBNSYS0000008391",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes pallidulus","Tinodes pallidulus","NBNSYS0000008393",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Tinodes rostocki","Tinodes rostocki","NBNSYS0000008394",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes unicolor","Tinodes unicolor","NBNSYS0000008395",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes waeneri","Tinodes waeneri","NBNSYS0000008396",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Rhyacophila","Rhyacophila","NHMSYS0020704833",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila dorsalis","Rhyacophila dorsalis","NBNSYS0000008339",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila fasciata","Rhyacophila fasciata","NBNSYS0000155925",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila munda","Rhyacophila munda","NBNSYS0000008340",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila obliterata","Rhyacophila obliterata","NBNSYS0000008341",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Notidobia ciliaris","Notidobia ciliaris","NBNSYS0000008505",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Sericostoma personatum","Sericostoma personatum","NBNSYS0000008506",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
,,"NHMSYS0021366929",,,"1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
,,"NHMSYS0021366799",,,"1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
