"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Ceratina (Euceratina) cyanea","Ceratina cyanea","NHMSYS0000875622","NHMSYS0000875623",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Epeolus cruciger","Epeolus cruciger","NHMSYS0000875908","NHMSYS0000875908","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Epeolus variegatus","Epeolus variegatus","NHMSYS0000875912","NHMSYS0000875912","05-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Eucera longicornis","Eucera longicornis","NHMSYS0000875930","NHMSYS0000875930","04-01 to 08-31","1: This is a rare species",
"Eucera (Eucera) longicornis","Eucera longicornis","NHMSYS0000875928","NHMSYS0000875930",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Eucera nigrescens","Eucera nigrescens","NHMSYS0000875931","NHMSYS0000875931","05-01 to 08-31","1: This is a rare species",
"Eucera (Eucera) nigrescens","Eucera nigrescens","NHMSYS0000875929","NHMSYS0000875931",,,"5: Voucher specimen required to be examined by national expert."
"Melecta albifrons","Melecta albifrons","NHMSYS0000876305","NHMSYS0000876305","03-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Melecta luctuosa","Melecta luctuosa","NHMSYS0000876307","NHMSYS0000876307","04-01 to 06-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Nomada argentata","Nomada argentata","NHMSYS0000876400","NHMSYS0000876400","07-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada armata","Nomada armata","NHMSYS0000876401","NHMSYS0000876401","06-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada baccata","Nomada baccata","NHMSYS0000876403","NHMSYS0000876403","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada conjungens","Nomada conjungens","NHMSYS0000876410","NHMSYS0000876410","05-01 to 07-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada errans","Nomada errans","NHMSYS0000876414","NHMSYS0000876414","07-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Nomada fabriciana","Nomada fabriciana","NHMSYS0000876415","NHMSYS0000876415","03-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Nomada ferruginata","Nomada ferruginata","NHMSYS0000876418","NHMSYS0000876418","03-01 to 05-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada flava","Nomada flava","NHMSYS0000876419","NHMSYS0000876419","03-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada flavoguttata","Nomada flavoguttata","NHMSYS0000876420","NHMSYS0000876420","02-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada flavopicta","Nomada flavopicta","NHMSYS0000876421","NHMSYS0000876421","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada fucata","Nomada fucata","NHMSYS0000876422","NHMSYS0000876422","03-01 to 09-30",,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Nomada fulvicornis","Nomada fulvicornis","NHMSYS0000876423","NHMSYS0000876423","03-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada goodeniana","Nomada goodeniana","NHMSYS0000876427","NHMSYS0000876427","03-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada guttulata","Nomada guttulata","NHMSYS0000876428","NHMSYS0000876428","05-01 to 07-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Nomada hirtipes","Nomada hirtipes","NHMSYS0000876430","NHMSYS0000876430","04-01 to 06-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada integra","Nomada integra","NHMSYS0000876432","NHMSYS0000876432","04-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada lathburiana","Nomada lathburiana","NHMSYS0000876435","NHMSYS0000876435","03-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada leucophthalma","Nomada leucophthalma","NHMSYS0000876436","NHMSYS0000876436","02-01 to 07-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada marshamella","Nomada marshamella","NHMSYS0000876438","NHMSYS0000876438","03-01 to 12-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada obtusifrons","Nomada obtusifrons","NHMSYS0000876440","NHMSYS0000876440","04-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada panzeri","Nomada panzeri sensu lato","NHMSYS0000876442","NHMSYS0021195757","03-01 to 12-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada roberjeotiana","Nomada roberjeotiana","NBNSYS0100004273","NBNSYS0100004273","06-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada ruficornis","Nomada ruficornis","NHMSYS0000876447","NHMSYS0000876447","03-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada rufipes","Nomada rufipes","NHMSYS0000876448","NHMSYS0000876448","06-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Nomada sexfasciata","Nomada sexfasciata","NHMSYS0000876454","NHMSYS0000876454","05-01 to 07-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Nomada sheppardana","Nomada sheppardana","NHMSYS0000876455","NHMSYS0000876455","03-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada signata","Nomada signata","NHMSYS0000876456","NHMSYS0000876456","03-01 to 06-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Nomada striata","Nomada striata","NHMSYS0000876460","NHMSYS0000876460","03-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Xylocopa violacea","Xylocopa violacea","NHMSYS0000876788","NHMSYS0000876788","03-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Xylocopa (Xylocopa) violacea","Xylocopa violacea","NHMSYS0000876787","NHMSYS0000876788",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Bethylus boops","Bethylus boops","NHMSYS0000875457","NHMSYS0000875457","04-01 to 12-31",,"4: Species needs confirmation from national expert."
"Bethylus cephalotes","Bethylus cephalotes","NHMSYS0000875458","NHMSYS0000875458",,,"4: Species needs confirmation from national expert."
"Bethylus dendrophilus","Bethylus dendrophilus","NHMSYS0000875459","NHMSYS0000875459","06-01 to 09-30",,"4: Species needs confirmation from national expert."
"Bethylus fuscicornis","Bethylus fuscicornis","NHMSYS0000875461","NHMSYS0000875461","02-01 to 10-31",,"4: Species needs confirmation from national expert."
"Cephalonomia formiciformis","Cephalonomia formiciformis","NHMSYS0000875607","NHMSYS0000875607","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Cephalonomia gallicola","Cephalonomia gallicola","NHMSYS0000875609","NHMSYS0000875609",,,"4: Species needs confirmation from national expert."
"Cephalonomia hammi","Cephalonomia hammi","NHMSYS0000875610","NHMSYS0000875610",,,"4: Species needs confirmation from national expert."
"Cephalonomia tarsalis","Cephalonomia tarsalis","NHMSYS0000875617","NHMSYS0000875617",,,"4: Species needs confirmation from national expert."
"Cephalonomia waterstoni","Cephalonomia waterstoni","NHMSYS0000875618","NHMSYS0000875618",,,"4: Species needs confirmation from national expert."
"Epyris bilineatus","Epyris bilineatus","NHMSYS0000875918","NHMSYS0000875918","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Epyris niger","Epyris niger","NHMSYS0000875923","NHMSYS0000875923","04-01 to 09-30",,"4: Species needs confirmation from national expert."
"Goniozus claripennis","Goniozus claripennis","NHMSYS0000875999","NHMSYS0000875999","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Holepyris glabratus","Holepyris glabratus","NHMSYS0000876054","NHMSYS0000876054",,,"4: Species needs confirmation from national expert."
"Holepyris sylvanidis","Holepyris sylvanidis","NHMSYS0000876056","NHMSYS0000876056",,,"4: Species needs confirmation from national expert."
"Allepyris microneurus","Laelius femoralis","NHMSYS0020936521","NHMSYS0020526932","07-01 to 10-31",,"4: Species needs confirmation from national expert."
"Plastanoxus chittendeni","Plastanoxus chittendenii","NHMSYS0000876582","NBNSYS0100004759",,,"4: Species needs confirmation from national expert."
"Plastanoxus munroi","Plastanoxus munroi","NHMSYS0000876584","NHMSYS0000876584",,,"4: Species needs confirmation from national expert."
"Plastanoxus westwoodi","Plastanoxus westwoodi","NHMSYS0000876585","NHMSYS0000876585",,,"4: Species needs confirmation from national expert."
"Pristocera depressa","Pristocera depressa","NHMSYS0000876626","NHMSYS0000876626",,,"4: Species needs confirmation from national expert."
"Pseudisobrachium subcyaneum","Pseudisobrachium subcyaneum","NHMSYS0000876641","NHMSYS0000876641",,,"4: Species needs confirmation from national expert."
"Chrysis angustula","Chrysis angustula","NHMSYS0000875654","NHMSYS0000875654","01-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Chrysis fulgida","Chrysis fulgida","NHMSYS0000875658","NHMSYS0000875658","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Chrysis gracillima","Chrysis gracillima","NHMSYS0000875659","NHMSYS0000875659","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Chrysis ignita","Chrysis ignita","NHMSYS0000875661","NHMSYS0000875661",,,"4: Species needs confirmation from national expert."
"Chrysis ignita sensu lato","Chrysis ignita sensu lato","NHMSYS0020936552","NHMSYS0020936552","04-01 to 10-31",,
"Chrysis illigeri","Chrysis illigeri","NHMSYS0000875662","NHMSYS0000875662","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Chrysis impressa","Chrysis impressa","NHMSYS0000875663","NHMSYS0000875663","04-01 to 09-30",,"4: Species needs confirmation from national expert."
"Chrysis longula","Chrysis longula","NHMSYS0000875664","NHMSYS0000875664","05-01 to 06-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Chrysis mediata","Chrysis mediata","NHMSYS0000875665","NHMSYS0000875665","03-01 to 09-30",,"4: Species needs confirmation from national expert."
"Chrysis pseudobrevitarsis","Chrysis pseudobrevitarsis","NHMSYS0000875667","NHMSYS0000875667","06-01 to 06-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Chrysis ruddii","Chrysis ruddii","NHMSYS0000875668","NHMSYS0000875668","05-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Chrysis schencki","Chrysis schencki","NHMSYS0000875670","NHMSYS0000875670","04-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Chrysis rutiliventris","Chrysis vanlithi","NHMSYS0000875669","NHMSYS0021231943","04-01 to 09-30",,"4: Species needs confirmation from national expert."
"Chrysis viridula","Chrysis viridula","NHMSYS0000875674","NHMSYS0000875674","04-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Chrysura hirsuta","Chrysura hirsuta","NHMSYS0000875676","NHMSYS0000875676","05-01 to 07-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Chrysura radians","Chrysura radians","NHMSYS0000875679","NHMSYS0000875679","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cleptes nitidulus","Cleptes nitidulus","NHMSYS0000875681","NHMSYS0000875681","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cleptes semiauratus","Cleptes semiauratus","NHMSYS0000875683","NHMSYS0000875683","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Elampus panzeri","Elampus panzeri","NHMSYS0000875899","NHMSYS0000875899","05-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hedychridium ardens","Hedychridium ardens","NHMSYS0000876040","NHMSYS0000876040","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hedychridium coriaceum","Hedychridium coriaceum","NHMSYS0000876041","NHMSYS0000876041","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hedychridium cupreum","Hedychridium cupreum","NHMSYS0000876042","NHMSYS0000876042","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hedychridium roseum","Hedychridium roseum","NHMSYS0000876044","NHMSYS0000876044","06-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Hedychrum niemelai","Hedychrum niemelai","NHMSYS0000876047","NHMSYS0000876047","05-01 to 09-30",,"4: Species needs confirmation from national expert."
"Hedychrum rutilans","Hedychrum rutilans","NHMSYS0000876050","NHMSYS0000876050",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Omalus aeneus","Omalus aeneus","NHMSYS0000876486","NHMSYS0000876486","06-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Omalus puncticollis","Omalus puncticollis","NHMSYS0000876487","NHMSYS0000876487","05-01 to 08-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Philoctetes truncatus","Philoctetes truncatus","NBNSYS0100004564","NBNSYS0100004564","07-01 to 07-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Pseudomalus auratus","Pseudomalus auratus","NBNSYS0100004922","NBNSYS0100004922","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pseudomalus violaceus","Pseudomalus violaceus","NBNSYS0100004923","NBNSYS0100004923","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Pseudospinolia neglecta","Pseudospinolia neglecta","NBNSYS0100004936","NBNSYS0100004936","04-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Trichrysis cyanea","Trichrysis cyanea","NHMSYS0000876762","NHMSYS0000876762","02-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Colletes cunicularius","Colletes cunicularius","NHMSYS0000875722","NHMSYS0000875722","03-01 to 06-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)",
"Colletes (Pachycolletes) cunicularius","Colletes cunicularius","NHMSYS0000875720","NHMSYS0000875722",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes daviesanus","Colletes daviesanus","NHMSYS0000875723","NHMSYS0000875723","04-01 to 10-31",,
"Colletes (Colletes) daviesanus","Colletes daviesanus","NHMSYS0000875711","NHMSYS0000875723",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes floralis","Colletes floralis","NHMSYS0000875724","NHMSYS0000875724","06-01 to 08-31","1: This is a rare species",
"Colletes (Colletes) floralis","Colletes floralis","NHMSYS0000875712","NHMSYS0000875724",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes fodiens","Colletes fodiens","NHMSYS0000875725","NHMSYS0000875725","05-01 to 09-30",,
"Colletes (Colletes) fodiens","Colletes fodiens","NHMSYS0000875713","NHMSYS0000875725",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes halophilus","Colletes halophilus","NHMSYS0000875726","NHMSYS0000875726","07-01 to 10-31","1: This is a rare species",
"Colletes (Colletes) halophilus","Colletes halophilus","NHMSYS0000875714","NHMSYS0000875726",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes hederae","Colletes hederae","NBNSYS0100002538","NBNSYS0100002538","04-01 to 11-30",,
"Colletes marginatus","Colletes marginatus","NHMSYS0000875727","NHMSYS0000875727","06-01 to 08-31","1: This is a rare species",
"Colletes (Colletes) marginatus","Colletes marginatus","NHMSYS0000875716","NHMSYS0000875727",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes similis","Colletes similis","NHMSYS0000875730","NHMSYS0000875730","05-01 to 10-31",,
"Colletes (Colletes) similis","Colletes similis","NHMSYS0000875717","NHMSYS0000875730",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Colletes succinctus","Colletes succinctus","NHMSYS0000875731","NHMSYS0000875731","01-01 to 10-31",,
"Colletes (Colletes) succinctus","Colletes succinctus","NHMSYS0000875718","NHMSYS0000875731",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus brevicornis","Hylaeus brevicornis","NHMSYS0000876098","NHMSYS0000876098","04-01 to 09-30",,
"Hylaeus (Prosopis) brevicornis","Hylaeus brevicornis","NHMSYS0000876090","NHMSYS0000876098",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus communis","Hylaeus communis","NHMSYS0000876099","NHMSYS0000876099","01-01 to 10-31",,
"Hylaeus (Hylaeus) communis","Hylaeus communis","NHMSYS0000876081","NHMSYS0000876099",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Hylaeus confusus","Hylaeus confusus","NHMSYS0000876100","NHMSYS0000876100","04-01 to 09-30",,
"Hylaeus (Prosopis) confusus","Hylaeus confusus","NHMSYS0000876091","NHMSYS0000876100",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus cornutus","Hylaeus cornutus","NHMSYS0000876101","NHMSYS0000876101","06-01 to 09-30",,
"Hylaeus (Abrupta) cornutus","Hylaeus cornutus","NHMSYS0000876079","NHMSYS0000876101",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Hylaeus hyalinatus","Hylaeus hyalinatus","NHMSYS0000876106","NHMSYS0000876106","03-01 to 09-30",,
"Hylaeus (Spatulariella) hyalinatus","Hylaeus hyalinatus","NHMSYS0000876096","NHMSYS0000876106",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus incongruus","Hylaeus incongruus","NHMSYS0020936570","NHMSYS0020936570","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus pectoralis","Hylaeus pectoralis","NHMSYS0000876110","NHMSYS0000876110",,"1: This is a rare species",
"Hylaeus (Prosopis) pectoralis","Hylaeus pectoralis","NHMSYS0000876093","NHMSYS0000876110",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus pictipes","Hylaeus pictipes","NHMSYS0000876111","NHMSYS0000876111","04-01 to 09-30","1: This is a rare species",
"Hylaeus (Paraprosopis) pictipes","Hylaeus pictipes","NHMSYS0000876088","NHMSYS0000876111",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hylaeus punctulatissimus","Hylaeus punctulatissimus","NHMSYS0000876113","NHMSYS0000876113",,"1: This is a rare species",
"Hylaeus (Koptogaster) punctulatissimus","Hylaeus punctulatissimus","NHMSYS0000876083","NHMSYS0000876113",,,"5: Voucher specimen required to be examined by national expert."
"Hylaeus signatus","Hylaeus signatus","NHMSYS0000876116","NHMSYS0000876116","04-01 to 10-31",,
"Hylaeus (Prosopis) signatus","Hylaeus signatus","NHMSYS0000876094","NHMSYS0000876116",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Argogorytes fargeii","Argogorytes fargeii","NHMSYS0000875445","NHMSYS0000875445","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Argogorytes mystaceus","Argogorytes mystaceus","NHMSYS0000875446","NHMSYS0000875446","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Astata boops","Astata boops","NHMSYS0000875449","NHMSYS0000875449","05-01 to 10-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Cerceris arenaria","Cerceris arenaria","NHMSYS0000875625","NHMSYS0000875625","04-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cerceris quadricincta","Cerceris quadricincta","NHMSYS0000875631","NHMSYS0000875631","06-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cerceris quinquefasciata","Cerceris quinquefasciata","NHMSYS0000875632","NHMSYS0000875632","06-01 to 09-30","2: Records for this species must always be verified (rarity, new arrivals, establishing species)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cerceris ruficornis","Cerceris ruficornis","NHMSYS0000875633","NHMSYS0000875633","06-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cerceris rybyensis","Cerceris rybyensis","NHMSYS0000875634","NHMSYS0000875634","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Cerceris sabulosa","Cerceris sabulosa","NHMSYS0000875635","NHMSYS0000875635",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Crabro cribrarius","Crabro cribrarius","NHMSYS0000875733","NHMSYS0000875733","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crabro peltarius","Crabro peltarius","NHMSYS0000875734","NHMSYS0000875734","05-01 to 09-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crabro scutellatus","Crabro scutellatus","NHMSYS0000875735","NHMSYS0000875735","06-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus annulipes","Crossocerus annulipes","NHMSYS0000875774","NHMSYS0000875774","01-01 to 10-31",,
"Crossocerus (Blepharipus) annulipes","Crossocerus annulipes","NHMSYS0000875747","NHMSYS0000875774",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus binotatus","Crossocerus binotatus","NHMSYS0000875777","NHMSYS0000875777","05-01 to 10-31","1: This is a rare species",
"Crossocerus (Cuphopterus) binotatus","Crossocerus binotatus","NHMSYS0000875769","NHMSYS0000875777",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus capitosus","Crossocerus capitosus","NHMSYS0000875778","NHMSYS0000875778","03-01 to 09-30",,
"Crossocerus (Blepharipus) capitosus","Crossocerus capitosus","NHMSYS0000875748","NHMSYS0000875778",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus cetratus","Crossocerus cetratus","NHMSYS0000875780","NHMSYS0000875780","05-01 to 09-30",,
"Crossocerus (Blepharipus) cetratus","Crossocerus cetratus","NHMSYS0000875749","NHMSYS0000875780",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus congener","Crossocerus congener","NHMSYS0000875782","NHMSYS0000875782","06-01 to 09-30","1: This is a rare species",
"Crossocerus (Ablepharipus) congener","Crossocerus congener","NHMSYS0000875742","NHMSYS0000875782",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus dimidiatus","Crossocerus dimidiatus","NHMSYS0000875783","NHMSYS0000875783","05-01 to 11-30",,
"Crossocerus (Cuphopterus) dimidiatus","Crossocerus dimidiatus","NHMSYS0000875770","NHMSYS0000875783",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus distinguendus","Crossocerus distinguendus","NHMSYS0000875784","NHMSYS0000875784","04-01 to 09-30",,
"Crossocerus (Crossocerus) distinguendus","Crossocerus distinguendus","NHMSYS0000875756","NHMSYS0000875784",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus elongatulus","Crossocerus elongatulus","NHMSYS0000875785","NHMSYS0000875785","03-01 to 10-31",,
"Crossocerus (Crossocerus) elongatulus","Crossocerus elongatulus","NHMSYS0000875757","NHMSYS0000875785",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus exiguus","Crossocerus exiguus","NHMSYS0000875786","NHMSYS0000875786","06-01 to 09-30","1: This is a rare species",
"Crossocerus (Crossocerus) exiguus","Crossocerus exiguus","NHMSYS0000875760","NHMSYS0000875786",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus leucostomus","Crossocerus leucostomus","NHMSYS0000875791","NHMSYS0000875791","05-01 to 08-31","1: This is a rare species",
"Crossocerus (Blepharipus) leucostomus","Crossocerus leucostomus","NHMSYS0000875750","NHMSYS0000875791",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus megacephalus","Crossocerus megacephalus","NHMSYS0000875792","NHMSYS0000875792","01-01 to 10-31",,
"Crossocerus (Blepharipus) megacephalus","Crossocerus megacephalus","NHMSYS0000875751","NHMSYS0000875792",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus nigritus","Crossocerus nigritus","NHMSYS0000875793","NHMSYS0000875793","04-01 to 09-30",,
"Crossocerus (Blepharipus) nigritus","Crossocerus nigritus","NHMSYS0000875752","NHMSYS0000875793",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus ovalis","Crossocerus ovalis","NHMSYS0000875794","NHMSYS0000875794","04-01 to 09-30",,
"Crossocerus (Crossocerus) ovalis","Crossocerus ovalis","NHMSYS0000875761","NHMSYS0000875794",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus palmipes","Crossocerus palmipes","NHMSYS0000875797","NHMSYS0000875797","06-01 to 10-31","1: This is a rare species",
"Crossocerus (Crossocerus) palmipes","Crossocerus palmipes","NHMSYS0000875762","NHMSYS0000875797",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus podagricus","Crossocerus podagricus","NHMSYS0000875798","NHMSYS0000875798","05-01 to 12-31",,
"Crossocerus (Ablepharipus) podagricus","Crossocerus podagricus","NHMSYS0000875743","NHMSYS0000875798",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Crossocerus quadrimaculatus","Crossocerus quadrimaculatus","NHMSYS0000875801","NHMSYS0000875801","05-01 to 10-31",,
"Crossocerus (Hoplocrabro) quadrimaculatus","Crossocerus quadrimaculatus","NHMSYS0000875772","NHMSYS0000875801",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Crossocerus styrius","Crossocerus styrius","NHMSYS0000875804","NHMSYS0000875804","05-01 to 10-31","1: This is a rare species",
"Crossocerus (Blepharipus) styrius","Crossocerus styrius","NHMSYS0000875753","NHMSYS0000875804",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
