"species","preferred_species_name","tvk","recording_period","flight_period","id_difficulty"
"Elachista nobilella","Elachista nobilella","NHMSYS0001703658",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Elachista obliquella","Elachista obliquella","NBNSYS0100002933",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista orstadii","Elachista orstadii","NHMSYS0000502321",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista poae","Elachista poae","NHMSYS0000502323",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista pomerana","Elachista pomerana","NHMSYS0000502324",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista regificella","Elachista regificella","NHMSYS0000502325",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista rufocinerea","Elachista rufocinerea","NHMSYS0000502327",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista scirpi","Elachista scirpi","NHMSYS0021142304",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista serricornis","Elachista serricornis","NHMSYS0021142302",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista stabilella","Elachista stabilella","NHMSYS0021142319",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista subalbidella","Elachista subalbidella","NHMSYS0000502328",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista subnigrella","Elachista subnigrella","NHMSYS0000502329",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista subocellea","Elachista subocellea","NHMSYS0000502330",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista tengstromi","Elachista tengstromi","NHMSYS0021142278",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista trapeziella","Elachista trapeziella","NHMSYS0021142300",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista triatomea","Elachista triatomea","NHMSYS0000502332",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista triseriatella","Elachista triseriatella","NHMSYS0000502333",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Elachista unifasciella","Elachista unifasciella","NHMSYS0000502334",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Elachista utonella","Elachista utonella","NHMSYS0021142306",,,"4: Species that can only be identified following critical assessment often involving dissection and examination of genitalia. A specimen should be retained for confirmation."
"Perittia farinella","Perittia farinella","NHMSYS0021142252",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Perittia obscurepunctella","Perittia obscurepunctella","NHMSYS0000503691",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Stephensia brunnichella","Stephensia brunnichella","NHMSYS0000504321",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Endromis versicolora","Endromis versicolora","NBNSYS0000005716",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Epermenia aequidentellus","Epermenia aequidentellus","NHMSYS0000502390",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Epermenia chaerophyllella","Epermenia chaerophyllella","NHMSYS0000502391",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Epermenia falciformis","Epermenia falciformis","NBNSYS0100003026",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Epermenia farreni","Epermenia farreni","NHMSYS0021142972",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Epermenia insecurella","Epermenia insecurella","NHMSYS0000502393",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Epermenia profugella","Epermenia profugella","NBNSYS0100003028",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Phaulernis dentella","Phaulernis dentella","NHMSYS0000503709",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Phaulernis fulviguttella","Phaulernis fulviguttella","NHMSYS0000503710",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Arctia caja","Arctia caja","NBNSYS0000006143",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Arctia villica","Arctia villica","NHMSYS0000517243",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Arctia villica britannica","Arctia villica britannica","NHMSYS0021144398",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Arctia villica villica","Arctia villica villica","NHMSYS0021144397",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Arctornis l-nigrum","Arctornis l-nigrum","NHMSYS0000501296",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Atolmis rubricollis","Atolmis rubricollis","NBNSYS0000006125",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Callimorpha dominula","Callimorpha dominula","NBNSYS0000006154",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Calliteara pudibunda","Calliteara pudibunda","NBNSYS0000006114",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Catephia alchymista","Catephia alchymista","NHMSYS0021144456",,,"5: Ungraded."
"Catocala conjuncta","Catocala conjuncta","NHMSYS0001703667",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Catocala electa","Catocala electa","NBNSYS0000006558",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Catocala elocata","Catocala elocata","NHMSYS0021144448",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Catocala fraxini","Catocala fraxini","NBNSYS0000006556",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Catocala nupta","Catocala nupta","NHMSYS0000501671",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Catocala nymphagoga","Catocala nymphagoga","NHMSYS0021144447",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Catocala promissa","Catocala promissa","NHMSYS0021144450",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Catocala sponsa","Catocala sponsa","NHMSYS0000501673",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Colobochyla salicalis","Colobochyla salicalis","NHMSYS0021144439",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Coscinia cribraria","Coscinia cribraria","NBNSYS0000006139",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Coscinia cribraria arenaria","Coscinia cribraria arenaria","NHMSYS0021144407",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Coscinia cribraria bivittata","Coscinia cribraria bivittata","NHMSYS0021144406",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Coscinia cribraria cribraria","Coscinia cribraria cribraria","NHMSYS0021144404",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Coscinia striata","Coscinia striata","NHMSYS0021144408",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Cybosia mesomella","Cybosia mesomella","NBNSYS0000006126",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Diacrisia sannio","Diacrisia sannio","NBNSYS0000006145",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Diaphora mendica","Diaphora mendica","NBNSYS0000006149",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Dicallomera fascelina","Dicallomera fascelina","NBNSYS0000006113",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Dysgonia algira","Dysgonia algira","NBNSYS0000006565",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Eilema caniola","Eilema caniola","NHMSYS0021144420",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema complana","Eilema complana","NBNSYS0000006133",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema depressa","Eilema depressa","NBNSYS0100002922",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema griseola","Eilema griseola","NHMSYS0021144417",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema lurideola","Eilema lurideola","NBNSYS0000006136",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema pygmaeola","Eilema pygmaeola","NBNSYS0000006132",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema pygmaeola pallifrons","Eilema pygmaeola pallifrons","NHMSYS0021144422",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema pygmaeola pygmaeola","Eilema pygmaeola pygmaeola","NHMSYS0021144421",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eilema sororcula","Eilema sororcula","NBNSYS0000006129",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Eublemma minutata","Eublemma minutata","NBNSYS0000006515",,,"3: Very scarce species or species that are difficult to identify. A voucher specimen may be required by your County Recorder (seek advice before releasing the moth) particularly if the species record is outside of the normal flight period or geographical range. A good set of photographs showing all critical identification features clearly may suffice in some cases."
"Eublemma ostrina","Eublemma ostrina","NHMSYS0021144443",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Eublemma parva","Eublemma parva","NHMSYS0021144444",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Eublemma purpurina","Eublemma purpurina","NHMSYS0001703670",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Euclidia mi","Euclidia mi","NHMSYS0021144454",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Euplagia quadripunctaria","Euplagia quadripunctaria","NBNSYS0000006153",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Euproctis chrysorrhoea","Euproctis chrysorrhoea","NBNSYS0000006115",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Euproctis similis","Euproctis similis","NBNSYS0000006116",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Grammodes stolida","Grammodes stolida","NBNSYS0000006566",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Herminia grisealis","Herminia grisealis","NHMSYS0021144427",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Herminia tarsicrinalis","Herminia tarsicrinalis","NBNSYS0000006595",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Herminia tarsipennalis","Herminia tarsipennalis","NHMSYS0021144426",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Hypena crassalis","Hypena crassalis","NBNSYS0000006580",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Hypena lividalis","Hypena lividalis","NHMSYS0021157662",,,"5: Ungraded."
"Hypena obesalis","Hypena obesalis","NHMSYS0021144366",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Hypena obsitalis","Hypena obsitalis","NHMSYS0021144367",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Hypena proboscidalis","Hypena proboscidalis","NBNSYS0000006581",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Hypena rostralis","Hypena rostralis","NBNSYS0000006584",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Hyphantria cunea","Hyphantria cunea","NHMSYS0021157674",,,"5: Ungraded."
"Hyphoraia testudinaria","Hyphoraia testudinaria","NHMSYS0021144400",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Laelia coenosa","Laelia coenosa","NHMSYS0021144380",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Laspeyria flexula","Laspeyria flexula","NHMSYS0021144440",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Leucoma salicis","Leucoma salicis","NBNSYS0000006117",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Lithosia quadra","Lithosia quadra","NBNSYS0000006137",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Lygephila craccae","Lygephila craccae","NHMSYS0021144436",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Lygephila pastinum","Lygephila pastinum","NBNSYS0000006570",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Lymantria dispar","Lymantria dispar","NBNSYS0000006120",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Lymantria monacha","Lymantria monacha","NBNSYS0000006119",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Macrochilo cribrumalis","Macrochilo cribrumalis","NHMSYS0000503145",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Miltochrista miniata","Miltochrista miniata","NBNSYS0000006123",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Minucia lunaris","Minucia lunaris","NHMSYS0021144457",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
"Nudaria mundana","Nudaria mundana","NBNSYS0000006124",,,"2: Can be confused with other species. Should not present any difficulty for experienced recorders; however, good quality photographs or a specimen will be required if the recorder is not familiar with the species, and experienced recorders may be expected to provide additional evidence if the species record is outside of the normal flight period or geographical range. Worn specimens (esp. micro-moths) are likely to be unidentifiable unless a specimen is retained for microscopic examination."
"Orgyia antiqua","Orgyia antiqua","NBNSYS0000006112",,,"1: Generally distinctive species unlikely to be confused with other species. Records usually accepted within the normal flight period or geographical range; otherwise one or more good quality photographs, or possibly a specimen, may be required. Applies to species which will quickly become familiar to those gaining experience."
