"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Sargus flavipes","Sargus flavipes","NBNSYS0000007832",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Sargus iridatus","Sargus iridatus","NBNSYS0000007831",,"05-01 to 09-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Stratiomys chamaeleon","Stratiomys chamaeleon","NBNSYS0000007839",,"06-01 to 09-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Stratiomys longicornis","Stratiomys longicornis","NBNSYS0000007841",,"05-01 to 07-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Stratiomys potamida","Stratiomys potamida","NBNSYS0000007842",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Stratiomys singularior","Stratiomys singularior","NBNSYS0000007840",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Vanoyia tenuicornis","Vanoyia tenuicornis","NBNSYS0000007819",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Zabrachia tenella","Zabrachia tenella","NBNSYS0000159204",,"06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Atylotus fulvus","Atylotus fulvus","NBNSYS0000007875",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Atylotus latistriatus","Atylotus latistriatus","NHMSYS0020734193",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Atylotus plebeius","Atylotus plebeius","NBNSYS0000007877","1911-01-01 to present","06-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Atylotus rusticus","Atylotus rusticus","NBNSYS0000007878",,"06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Chrysops caecutiens","Chrysops caecutiens","NBNSYS0000007867",,"05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Chrysops relictus","Chrysops relictus","NBNSYS0000007868",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Chrysops sepulcralis","Chrysops sepulcralis","NBNSYS0000007869",,"07-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Chrysops viduatus","Chrysops viduatus","NBNSYS0000007870",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Haematopota bigoti","Haematopota bigoti","NBNSYS0000007871",,"07-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Haematopota crassicornis","Haematopota crassicornis","NBNSYS0000007872",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Haematopota grandis","Haematopota grandis","NBNSYS0000007873",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Haematopota italica","Haematopota italica","NHMSYS0020734197",,,"2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Haematopota pluvialis","Haematopota pluvialis","NBNSYS0000007874",,"05-01 to 10-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Haematopota sp. A","Haematopota sp. A","NHMSYS0020734199",,"08-01 to 08-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Haematopota sp. B","Haematopota sp. B","NHMSYS0020734200",,"06-01 to 06-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Haematopota subcylindrica","Haematopota subcylindrica","NBNSYS0000042531","1987-07-06 to present","06-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Hybomitra bimaculata","Hybomitra bimaculata","NBNSYS0000007879",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Hybomitra ciureai","Hybomitra ciureai","NBNSYS0000007880",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Hybomitra distinguenda","Hybomitra distinguenda","NBNSYS0000007881",,"06-01 to 09-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Hybomitra expollicata","Hybomitra expollicata","NBNSYS0000007882","1909-01-01 to present","07-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Hybomitra lurida","Hybomitra lurida","NBNSYS0000007883",,"05-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Hybomitra micans","Hybomitra micans","NBNSYS0000007884",,"05-01 to 06-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Hybomitra montana","Hybomitra montana","NBNSYS0000007885",,"05-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Hybomitra muehlfeldi","Hybomitra muehlfeldi","NBNSYS0100003522",,"06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Hybomitra solstitialis","Hybomitra solstitialis","NBNSYS0000148975",,"06-01 to 07-31","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Tabanus autumnalis","Tabanus autumnalis","NBNSYS0000007887",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Tabanus bovinus","Tabanus bovinus","NBNSYS0000007888",,"06-01 to 06-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Tabanus bromius","Tabanus bromius","NBNSYS0000007890",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Tabanus cordiger","Tabanus cordiger","NBNSYS0000007893",,"06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Tabanus glaucopis","Tabanus glaucopis","NBNSYS0000007894",,"07-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Tabanus maculicornis","Tabanus maculicornis","NBNSYS0000007891",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Tabanus miki","Tabanus miki","NBNSYS0000007892",,"06-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Tabanus spodopterus","Tabanus spodopterus","NHMSYS0020734206",,,"2: Records for this species must always be verified (very rare, taxonomic uncertainty)","5: Even the most expert of recorders would seek a second opinion. Specimen may need to be passed on to further experts for comparison with a wider range of material."
"Tabanus sudeticus","Tabanus sudeticus","NBNSYS0000007889",,"06-01 to 09-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Acrosathe annulata","Acrosathe annulata","NBNSYS0100001416",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Cliorismia rustica","Cliorismia rustica","NBNSYS0000189329",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Dialineura anilis","Dialineura anilis","NBNSYS0000007922",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Pandivirilia melaleuca","Pandivirilia melaleuca","NBNSYS0000173330",,"05-01 to 07-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Spiriverpa lunulata","Spiriverpa lunulata","NBNSYS0000189495",,"05-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Thereva bipunctata","Thereva bipunctata","NBNSYS0000007927",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Thereva cinifera","Thereva cinifera","NBNSYS0100005797","1992-01-01 to present","07-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva fulva","Thereva fulva","NBNSYS0000007928",,"06-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva handlirschi","Thereva handlirschi","NBNSYS0000007929",,"07-01 to 08-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva inornata","Thereva inornata","NBNSYS0000007930",,"06-01 to 09-30",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva nobilitata","Thereva nobilitata","NBNSYS0000007931",,"05-01 to 09-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Thereva plebeja","Thereva plebeja","NBNSYS0100005798",,"05-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva strigata","Thereva strigata","NBNSYS0000007933",,"05-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Thereva valida","Thereva valida","NBNSYS0000007934",,"06-01 to 07-31",,"4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Solva marginata","Solva marginata","NBNSYS0000007844",,"05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Solva varia","Solva varia","NBNSYS0000007845",,"05-01 to 06-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
"Xylomya maculata","Xylomya maculata","NBNSYS0100006018",,"05-01 to 06-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. Beginners need to take specimens until they gain familiarity and experience. May be identifiable from a good photo or series of photos.              "
"Xylophagus ater","Xylophagus ater","NBNSYS0000007846",,"05-01 to 06-30",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Xylophagus cinctus","Xylophagus cinctus","NBNSYS0000007847",,"06-01 to 08-31",,"3: Specimen needs checking under magnification and good lighting. Records accepted from experienced recorders without further question (unless the date, region or habitat was especially unusual). Beginners should get specimens checked at first until they gain experience. Usually not identifiable from a photo - unless you are lucky and get exactly the right features!"
"Xylophagus junki","Xylophagus junki","NBNSYS0000007848",,"06-01 to 06-30","2: Records for this species must always be verified (very rare, taxonomic uncertainty)","4: Voucher specimen should be retained. Confirmation would be required in the majority of cases, e.g. specimen having been checked by an acknowledged expert."
