"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","id_difficulty"
"Brachinus (Brachinus) crepitans","Brachinus crepitans","NHMSYS0001717366",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Brachinus (Brachynidius) sclopeta","Brachinus sclopeta","NHMSYS0001717368",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Bracteon argenteolum","Bracteon argenteolum","NHMSYS0001717388","1902-01-01 to 2003-12-13",,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bracteon litorale","Bracteon litorale","NHMSYS0001717389","1902-01-01 to present",,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bradycellus caucasicus","Bradycellus caucasicus","NHMSYS0001717393",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bradycellus csikii","Bradycellus csikii","NHMSYS0001717394","1972-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Bradycellus distinctus","Bradycellus distinctus","NBNSYS0000007421","1913-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bradycellus harpalinus","Bradycellus harpalinus","NHMSYS0001717396","1972-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bradycellus ruficollis","Bradycellus ruficollis","NBNSYS0000007423",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Bradycellus sharpi","Bradycellus sharpi","NBNSYS0000007424","1913-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Bradycellus verbasci","Bradycellus verbasci","NBNSYS0000007425",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Broscus cephalotes","Broscus cephalotes","NBNSYS0000007185",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Calathus (Calathus) ambiguus","Calathus ambiguus","NHMSYS0001717445",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Calathus (Calathus) cinctus","Calathus cinctus","NHMSYS0001717446","1989-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Calathus (Calathus) erratus","Calathus erratus","NHMSYS0001717447",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Calathus (Calathus) fuscipes","Calathus fuscipes","NHMSYS0001717448",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Calathus (Calathus) melanocephalus","Calathus melanocephalus","NHMSYS0001717449","1989-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Calathus (Calathus) micropterus","Calathus micropterus","NHMSYS0001717450",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Calathus (Calathus) mollis","Calathus mollis","NHMSYS0001717451",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Calathus (Amphigynus) rotundicollis","Calathus rotundicollis","NHMSYS0001717443",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Callistus lunatus","Callistus lunatus","NHMSYS0001717463"," to 1953-12-13",,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Calodromius spilotus","Calodromius spilotus","NHMSYS0001717468",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Calosoma inquisitor","Calosoma inquisitor","NBNSYS0000007143",,"04-01 to 08-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Calosoma sycophanta","Calosoma sycophanta","NBNSYS0000007144"," to 1997-12-13","05-01 to 08-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Carabus (Eucarabus) arvensis","Carabus arvensis","NHMSYS0001717513",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Autocarabus) auratus","Carabus auratus","NHMSYS0001717504",,"02-01 to 07-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Autocarabus) cancellatus","Carabus cancellatus","NHMSYS0001717505"," to 1826-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Carabus (Limnocarabus) clatratus","Carabus clatratus","NHMSYS0001717518",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Carabus (Tomocarabus) convexus","Carabus convexus","NHMSYS0001717533"," to 1836-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Carabus (Oreocarabus) glabratus","Carabus glabratus","NHMSYS0001717530",,"04-01 to 09-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Carabus) granulatus","Carabus granulatus","NHMSYS0001717507",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Chaetocarabus) intricatus","Carabus intricatus","NHMSYS0001717511",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Morphocarabus) monilis","Carabus monilis","NHMSYS0001717528",,"04-01 to 09-30","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Archicarabus) nemoralis","Carabus nemoralis","NHMSYS0001717502",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Hemicarabus) nitens","Carabus nitens","NHMSYS0001717516",,"03-01 to 08-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Mesocarabus) problematicus","Carabus problematicus","NHMSYS0001717524",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Carabus (Megodontus) violaceus","Carabus violaceus","NHMSYS0001717520",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Chlaenius nigricornis","Chlaenius nigricornis","NHMSYS0001717674",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Chlaenius nitidulus","Chlaenius nitidulus","NBNSYS0000007452"," to 1930-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Chlaenius tristis","Chlaenius tristis","NBNSYS0000007453",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Chlaenius vestitus","Chlaenius vestitus","NBNSYS0000007454",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Cicindela campestris","Cicindela campestris","NBNSYS0000007122",,"02-01 to 11-30","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Cicindela hybrida","Cicindela hybrida","NBNSYS0000007124",,"03-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Cicindela maritima","Cicindela maritima","NHMSYS0001717604",,"03-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Cicindela sylvatica","Cicindela sylvatica","NBNSYS0000007126",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Cillenus lateralis","Cillenus lateralis","NHMSYS0001717612",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Clivina collaris","Clivina collaris","NBNSYS0000007183",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Clivina fossor","Clivina fossor","NBNSYS0000007184",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Curtonotus alpinus","Curtonotus alpinus","NHMSYS0001717776",,"05-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Curtonotus aulicus","Curtonotus aulicus","NHMSYS0001717777",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Curtonotus convexiusculus","Curtonotus convexiusculus","NHMSYS0001717778",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Cychrus caraboides","Cychrus caraboides","NBNSYS0000007128",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Cylindera germanica","Cylindera germanica","NHMSYS0001717787",,"05-01 to 08-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Cymindis (Cymindis) axillaris","Cymindis axillaris","NHMSYS0001717793","1982-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Cymindis (Cymindis) macularis","Cymindis macularis","NHMSYS0001717794","1982-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Cymindis (Tarulus) vaporariorum","Cymindis vaporariorum","NHMSYS0001717796",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Demetrias (Demetrias) atricapillus","Demetrias atricapillus","NHMSYS0001717866",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Demetrias (Risophilus) imperialis","Demetrias imperialis","NHMSYS0001717869",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Demetrias (Demetrias) monostigma","Demetrias monostigma","NHMSYS0001717867",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Diachromus germanus","Diachromus germanus","NBNSYS0000007414",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Dicheirotrichus gustavii","Dicheirotrichus gustavii","NHMSYS0001717913",,"03-01 to 11-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dicheirotrichus obsoletus","Dicheirotrichus obsoletus","NBNSYS0000007416",,"03-01 to 11-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dromius agilis","Dromius agilis","NHMSYS0001717970",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dromius angustus","Dromius angustus","NHMSYS0001717971","1908-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dromius meridionalis","Dromius meridionalis","NBNSYS0000007471",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dromius quadrimaculatus","Dromius quadrimaculatus","NBNSYS0000007473",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Drypta dentata","Drypta dentata","NBNSYS0000007488",,"03-01 to 07-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Dyschirius (Dyschiriodes) aeneus","Dyschirius aeneus","NHMSYS0001718003","1933-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dyschirius (Dyschirius) angustatus","Dyschirius angustatus","NHMSYS0001718012",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Dyschirius (Dyschiriodes) extensus","Dyschirius extensus","NHMSYS0001718004"," to 1940-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Dyschirius (Dyschiriodes) globosus","Dyschirius globosus","NHMSYS0001718005",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Dyschirius (Dyschiriodes) impunctipennis","Dyschirius impunctipennis","NHMSYS0001718006",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Dyschirius (Dyschiriodes) luedersi","Dyschirius luedersi","NHMSYS0001718007","1933-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dyschirius (Dyschiriodes) nitidus","Dyschirius nitidus","NHMSYS0001718008",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Dyschirius (Dyschirius) obscurus","Dyschirius obscurus","NHMSYS0001718013",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Dyschirius (Dyschiriodes) politus","Dyschirius politus","NHMSYS0001718009",,,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Dyschirius (Dyschiriodes) salinus","Dyschirius salinus","NHMSYS0001718010",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Dyschirius (Dyschirius) thoracicus","Dyschirius thoracicus","NHMSYS0001718014",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Elaphropus parvulus","Elaphropus parvulus","NHMSYS0001718033","1913-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Elaphropus quadrisignatus","Elaphropus quadrisignatus","NHMSYS0001718034"," to 1887-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Elaphropus walkerianus","Elaphropus walkerianus","NHMSYS0001718035","1913-01-01 to present",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Elaphrus (Elaphrus) cupreus","Elaphrus cupreus","NHMSYS0001718038",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Elaphrus (Elaphrus) lapponicus","Elaphrus lapponicus","NHMSYS0001718039",,"04-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Elaphrus (Trichelaphrus) riparius","Elaphrus riparius","NHMSYS0001718042",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Elaphrus (Elaphrus) uliginosus","Elaphrus uliginosus","NHMSYS0001718040",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Eurynebria complanata","Eurynebria complanata","NHMSYS0001718164",,"05-01 to 12-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Harpalus (Harpalus) affinis","Harpalus affinis","NBNSYS0100003336",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Harpalus (Harpalus) anxius","Harpalus anxius","NBNSYS0100003337",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) attenuatus","Harpalus attenuatus","NBNSYS0100003338",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Pseudoophonus) calceatus","Harpalus calceatus","NHMSYS0001718359"," to 1957-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Harpalus (Harpalus) cupreus","Harpalus cupreus","NBNSYS0100003339"," to 1914-12-13",,"5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Harpalus (Harpalus) dimidiatus","Harpalus dimidiatus","NBNSYS0100003340",,"04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) froelichii","Harpalus froelichii","NHMSYS0001718352","1898-01-01 to present","04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Pseudoophonus) griseus","Harpalus griseus","NHMSYS0001718360",,"05-01 to 08-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Harpalus (Harpalus) honestus","Harpalus honestus","NBNSYS0100003342",,"05-01 to 08-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) laevipes","Harpalus laevipes","NHMSYS0001718353",,"04-01 to 08-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) latus","Harpalus latus","NBNSYS0100003343",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Cryptophonus) melancholicus","Harpalus melancholicus","NHMSYS0001718348",,"05-01 to 09-30","5: Identifications always require confirmation from a designated expert. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Harpalus (Harpalus) neglectus","Harpalus neglectus","NHMSYS0001718354",,"03-01 to 08-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) pumilus","Harpalus pumilus","NHMSYS0001718355",,"03-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) rubripes","Harpalus rubripes","NBNSYS0100003347",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) rufipalpis","Harpalus rufipalpis","NHMSYS0001718356",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Pseudoophonus) rufipes","Harpalus rufipes","NHMSYS0001718361",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) serripes","Harpalus serripes","NHMSYS0001718357",,"04-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) servus","Harpalus servus","NBNSYS0100003350",,"03-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) smaragdinus","Harpalus smaragdinus","NBNSYS0100003351",,"03-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Harpalus) tardus","Harpalus tardus","NBNSYS0100003352","1898-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Harpalus (Cryptophonus) tenebrosus","Harpalus tenebrosus","NHMSYS0001718349",,"03-01 to 10-31","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Laemostenus (Laemostenus) complanatus","Laemostenus complanatus","NHMSYS0001718677","1902-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Laemostenus (Pristonychus) terricola","Laemostenus terricola","NHMSYS0001718679","1902-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Lebia (Lamprias) chlorocephala","Lebia chlorocephala","NHMSYS0001718725",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Lebia (Lebia) cruxminor","Lebia cruxminor","NHMSYS0001718728",,"04-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Lebia (Lamprias) cyanocephala","Lebia cyanocephala","NHMSYS0001718726",,"03-01 to 10-31","2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Lebia (Lebia) marginata","Lebia marginata","NHMSYS0001718729"," to 1864-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Lebia (Lebia) scapularis","Lebia scapularis","NHMSYS0001718730"," to 1883-12-13",,"4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Leistus (Leistus) ferrugineus","Leistus ferrugineus","NHMSYS0001718797",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Leistus (Leistophorus) fulvibarbis","Leistus fulvibarbis","NHMSYS0001718795",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Leistus (Pogonophorus) montanus","Leistus montanus","NHMSYS0001718800",,"05-01 to 10-31","4: Difficult to identify, or poorly covered by available guides. Worth getting a second opinion and/or comparing to a reliable reference collection. For most of these species, a field photograph will not be sufficient to allow confident identification."
"Leistus (Pogonophorus) rufomarginatus","Leistus rufomarginatus","NHMSYS0001718801","1942-01-01 to present",,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Leistus (Pogonophorus) spinibarbis","Leistus spinibarbis","NHMSYS0001718802",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Leistus (Leistus) terminatus","Leistus terminatus","NHMSYS0001718798",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Licinus depressus","Licinus depressus","NBNSYS0000007440",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Licinus punctatulus","Licinus punctatulus","NHMSYS0001718827",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Lionychus quadrillum","Lionychus quadrillum","NBNSYS0000007483",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Loricera pilicornis","Loricera pilicornis","NHMSYS0001718877",,,"1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Masoreus wetterhallii","Masoreus wetterhallii","NBNSYS0000151143",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
"Microlestes maurus","Microlestes maurus","NBNSYS0000007478","1997-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Microlestes minutulus","Microlestes minutulus","NBNSYS0000007479","1997-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Miscodera arctica","Miscodera arctica","NBNSYS0000007186",,"05-01 to 10-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Nebria (Nebria) brevicollis","Nebria brevicollis","NHMSYS0001719104","1922-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Nebria (Paranebria) livida","Nebria livida","NHMSYS0001719107",,"05-01 to 10-31","1: Distinctive and rarely misidentified by any mature person of sound mind. Almost always identifiable from a field photograph."
"Nebria (Boreonebria) nivalis","Nebria nivalis","NHMSYS0001719101","1950-01-01 to present","04-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Nebria (Boreonebria) rufescens","Nebria rufescens","NHMSYS0001719102",,"03-01 to 09-30","3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Nebria (Nebria) salina","Nebria salina","NHMSYS0001719105","1922-01-01 to present",,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Notiophilus aesthuans","Notiophilus aesthuans","NHMSYS0001719178",,,"3: Less distinctive; reliably accurate identification comes with experience. (Includes species which are distinctive if dissected but otherwise less distinctive). A field photograph will usually not show enough to allow confident identification."
"Notiophilus aquaticus","Notiophilus aquaticus","NBNSYS0000007159",,,"2: Fairly distinctive and can be accurately identified using available guides, even on first encounter. Usually identifiable from a field photograph."
