"species","preferred_species_name","tvk","recording_period","seasonal_recording_period","additional_checks_required","id_difficulty"
"Agrypnia obsoleta","Agrypnia obsoleta","NBNSYS0000008424","1854-01-01 to present","05-01 to 09-30",,
"Agrypnia pagetana","Agrypnia pagetana","NBNSYS0000008425","1833-01-01 to present","04-01 to 10-31",,
"Agrypnia picta","Agrypnia picta","NBNSYS0000008426",,,"2: Records for this species must always be verified (rarity, new arrivals)",
"Agrypnia varia","Agrypnia varia","NHMSYS0020704765","1825-01-01 to present","04-01 to 10-31",,
"Hagenella clathrata","Hagenella clathrata","NBNSYS0000008428","1867-01-01 to present","05-01 to 07-31","1: This is a rare species","4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Oligotricha striata","Oligotricha striata","NBNSYS0000008429","1833-01-01 to present","05-01 to 09-30",,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Phryganea bipunctata","Phryganea bipunctata","NBNSYS0000008430","1858-01-01 to present","05-01 to 10-31",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Phryganea grandis","Phryganea grandis","NBNSYS0000008431","1823-01-01 to present","05-01 to 08-31",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Phryganeidae","Phryganeidae","NBNSYS0000160695",,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Trichostegia minor","Trichostegia minor","NBNSYS0000008432","1830-01-01 to present","04-01 to 08-31",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Cyrnus flavidus","Cyrnus flavidus","NBNSYS0000008399","1861-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cyrnus insolutus","Cyrnus insolutus","NBNSYS0000008400","1941-01-01 to present","06-01 to 07-31","1: This is a rare species","3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cyrnus trimaculatus","Cyrnus trimaculatus","NBNSYS0000008401","1836-01-01 to present","05-01 to 09-30",,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Holocentropus dubius","Holocentropus dubius","NBNSYS0000008402","1861-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Holocentropus picicornis","Holocentropus picicornis","NBNSYS0000008403","1836-01-01 to present","04-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Holocentropus stagnalis","Holocentropus stagnalis","NBNSYS0000008404","1870-01-01 to present","04-01 to 09-30","1: This is a rare species","3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Neureclipsis bimaculata","Neureclipsis bimaculata","NBNSYS0000008405","1860-01-01 to present","05-01 to 09-30",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Plectrocnemia","Plectrocnemia","NHMSYS0020704827",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Plectrocnemia brevis","Plectrocnemia brevis","NBNSYS0000008406","1898-01-01 to present","05-01 to 09-30",,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Plectrocnemia conspersa","Plectrocnemia conspersa","NBNSYS0000008407","1860-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Plectrocnemia geniculata","Plectrocnemia geniculata","NBNSYS0000008408","1836-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus flavomaculatus","Polycentropus flavomaculatus","NBNSYS0000008409","1825-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus irroratus","Polycentropus irroratus","NBNSYS0000008410","1836-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Polycentropus kingi","Polycentropus kingi","NBNSYS0000008411","1862-01-01 to present","06-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype","Lype","NHMSYS0020704809",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype phaeopa","Lype phaeopa","NBNSYS0000008385","1835-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Lype reducta","Lype reducta","NBNSYS0000008386","1837-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Psychomyia fragilis","Psychomyia fragilis","NHMSYS0020547806","1868-01-01 to present","06-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Psychomyia pusilla","Psychomyia pusilla","NHMSYS0020704831","1835-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes assimilis","Tinodes assimilis","NBNSYS0000008389","1862-01-01 to present","04-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes dives","Tinodes dives","NBNSYS0000008390","1865-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes maclachlani","Tinodes maclachlani","NBNSYS0000008391","1861-01-01 to present","05-01 to 09-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes pallidulus","Tinodes pallidulus","NBNSYS0000008393","1949-01-01 to present","07-01 to 07-31","2: Records for this species must always be verified (rarity, new arrivals)","4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Tinodes rostocki","Tinodes rostocki","NBNSYS0000008394","1930-01-01 to present","05-01 to 07-31","2: Records for this species must always be verified (rarity, new arrivals)","3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes unicolor","Tinodes unicolor","NBNSYS0000008395","1862-01-01 to present","05-01 to 08-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Tinodes waeneri","Tinodes waeneri","NBNSYS0000008396","1836-01-01 to present","04-01 to 10-31",,"2: Can be identified with experience.  Identifiable by expert from photos"
"Rhyacophila","Rhyacophila","NHMSYS0020704833",,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila dorsalis","Rhyacophila dorsalis","NBNSYS0000008339","1825-01-01 to present","03-01 to 11-30",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila fasciata","Rhyacophila fasciata","NBNSYS0000155925","1862-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila munda","Rhyacophila munda","NBNSYS0000008340","1845-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Rhyacophila obliterata","Rhyacophila obliterata","NBNSYS0000008341","1861-01-01 to present","05-01 to 10-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Notidobia ciliaris","Notidobia ciliaris","NBNSYS0000008505","1836-01-01 to present","05-01 to 07-31",,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Sericostoma personatum","Sericostoma personatum","NBNSYS0000008506","1825-01-01 to present","04-01 to 10-31",,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
